artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Red Hot Chili Peppers,Can't Stop,rock,2002,0.618,0.938,269000,FALSE,,,,,,,,,
Musiq Soulchild,Halfcrazy,"pop, R&B",2002,0.412,0.77,254493,FALSE,,,,,,,,,
Sean Paul,Gimme the Light,"hip hop, pop",2002,0.778,0.761,228000,TRUE,,,,,,,,,
Faith Evans,I Love You,"hip hop, pop, R&B",2001,0.489,0.757,267160,FALSE,,,,,,,,,
Charli Baltimore,Down 4 U,pop,2002,0.64,0.59,318213,TRUE,,,,,,,,,
Kylie Minogue,Love at First Sight,"pop, Dance/Electronic",2001,0.603,0.774,238266,FALSE,,,,,,,,,
N.O.R.E.,Nothin',"hip hop, pop",2002,0.791,0.863,264653,TRUE,,,,,,,,,
Gareth Gates,Unchained Melody,pop,2003,0.368,0.426,233666,FALSE,,,,,,,,,
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],"hip hop, pop",2005,0.66,0.707,268800,FALSE,,,,,,,,,
Big Brovaz,Nu Flow,pop,2001,0.783,0.726,201480,FALSE,,,,,,,,,
No Doubt,Hey Baby,"rock, pop",2001,0.705,0.872,207040,FALSE,,,,,,,,,
